Identifier,heading,image_url,folio_start,folio_start_r_or_v,folio_end,folio_end_r_or_v,material,tool,purpose,subject_activity_keywords
p143v_1,Openwork carcanets,"http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f292.image
",143,v,143,v,clay; wax;,,casting (similar to crayfish),casting--like-crayfish
p143v_2,Iron filings,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f292.image,143,v,143,v,,,cleaning iron fillings,casting--advice-filings
p143v_3,Carnations,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f292.image,143,v,143,v,silver leaf; slivers;,,casting carnations,casting--carnations
p046r_1,Oil of sulfur for the teeth,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f97.item,46,r,46,r,Oil of sulfur; clove oil; rose honey;,burin; cotton,Application,whitening
p046r_2,Wheat oil,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f97.item,46,r,46,r,Wheat oil,,Warning,hair
p046r_3,Against the falling sickness,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f97.item,46,r,46,r,Crow eggs; gentian; oil of sulfur,,Medical use against pain,
p046r_4,Against cold gouts/,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f97.item,46,r,46,r,Guaiac oil; oil of sulfur,,Application,cold gouts
p046r_5,Tree flowers,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f97.item,46,r,46,r,,,Encyclopedia Entry,tree flowers
p046v_1,Oil of sulfur for the writer,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f98.image,46,v,46,v,Oil of sulfur,,Application,cleaning
p046v_2,Shoemaker,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f98.image,46,v,46,v,Oil of sulfur,writing quill,Application,polishing
p046v_3,Erasing a letter,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f98.image,46,v,46,v,Oil of sulfur,writing quill,Application,erasing
p046v_4,Writing without ink,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f98.image,46,v,46,v,Oil of sulfur,,Application,writing; without ink
p046v_5,Making à jour letters in paper and other work,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f98.image,46,v,46,v,Oil of sulfur,,Application,making; à jour letters
p046v_6,Making someone's boots burn,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f98.image,46,v,46,v,Oil of sulfur,,Application,burning
p046v_7,Black letters on stone,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f98.image,46,v,46,v,Oil of sulfur,,Application,engraving
p047r_1,For teeth,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f99.image,47,r,47,r,Sal ammoniac; rock salt; alum half (?); water; rose honey; clove oil; cinnamon oil,,Application,cleaning
p047r_2,Antimony oil,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f99.image,47,r,47,r,Antimony oil,,Property,
p047r_3,Against falling sickness or dizziness,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f99.image,47,r,47,r,Paeonia,,Medical use,
p047r_4,Crucibles,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f99.image,47,r,47,r,,,Encyclopedia Entry (?),
p047r_5,Against diarrhea and dysentery,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f99.image,47,r,47,r,Symphytum; wax oil; broth; beef,,Medical use,
p047v_a1,A beverage which tastes like wine,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f100.image,47,v,47,v,Tartar; water,,Diluting,
p047v_a2,Melting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f100.image,47,v,47,v,Metal; copper; potin; latten; lead; rossette; earth,,Melting,
p047v_a3,Crucibles,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f100.image,47,v,47,v,,,Encyclopedia Entry (?),
p047v_a4,Cast,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f100.image,47,v,47,v,Pumice stone; gold,,Casting,
p048r_1,Founder,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f101.image,48,r,48,r,,,Encyclopedia Entry (?),
p048r_2,Curing dogs from mange,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f101.image,48,r,48,r,Grain; food,,Veterinary methods,
p048r_3,Excellent mustard,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f101.image,48,r,48,r,Cloves; cinnamon; wine; mustard seeds,,Baking,
p048r_4,Keeping birds and animals,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f101.image,48,r,48,r,Canvas; cotton; sel ammoniac,,Preserving (?),
p048v_a1,Regulus extracts,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f102.image,48,v,48,v,Antimony; (black) soap; Montpellier tartar; woor or iron; tile; regulin from antimony; saltpeter; tartar,,Extracting,
p048v_a2,Lead tin,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f102.image,48,v,48,v,(Iced/Fine/Fine and mild/Sour) tin; lead; antinomy; (red; mild cauldron) copper; latten; stone; glass; metals; marble tile,,Alloying,
p049r_a1,Lead casting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f103.image,49,r,49,r,Lead; tin; rosin; candle; antimony; (looking-)glass; copper; resin,,Casting,
p049r_a2,Sand for lead casting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f103.image,49,r,49,r,Rye Straw; egg white; copper; latten,,Making (?),
p049r_a3,Other,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f103.image,49,r,49,r,Pumice stone; cuttlefish; bones; walnut; tree or vine; egg white,,Burning and calcinating,
p049r_a4,Pewterers,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f103.image,49,r,49,r,Glass; (fine) tin; lead; copper; stone; earth; latten; resin; candles; salmons,,Making (?),
p049v_1,Birds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f104.image,49,v,49,v,,,Encyclopedia Entry (?),
p049v_2,Grain of lead,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f104.image,49,v,49,v,Playing card; pin or needle; water; lead,,？,
p049v_3,Birds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f104.image,49,v,49,v,,,Encyclopedia Entry (?),
p003v_a1,To varnish,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f12.image,3,v,3,v,turpentine varnish; glue; wood; spike lavender varnish; sandarac varnish; iron; colors; gum; colle d'étrempe; glue de retailles,,application; advice,varnishing; surface treatment
p004r_1,Lavender spike oil varnish,"http://gallica.bnf.fr/ark:/12148/btv1b10500001g/fl3.image
",4,r,4,r,lavender spike oil; sandarac gum; ebony; turpentine varnish; linseed varnish; mastic; plaster; glue de retaille; aspic oil varnish; aspic oil,charcoal fire; finger,making; advice,varnishing; surface treatment
p004r_missing,To remove varnish from an old panel painting that has yellowed and varnish it again,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f13.image,4,r,4,r,white soap; ashes; water; turpentine varnish,sieve; sponge; sun,making; advice,varnishing; refurbishing; surface treatment
p004v_a1,"Black varnish for sword guards, metal bands for chests, etc.",http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f14.image,4,v,4,v,linseed oil; walnut oil; garlic cloves; hog's fennel; bread crusts; black pitch; wheat; iron; paternoster beads; galipot,charcoal fire; feather; brush; fire,making; applying; advice,varnishing; surface treatment
p004v_a2,"Black varnish without fire, without disassembling harnesses or removing metal bands from chests.",http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f14.image,4,v,4,v,spike lavender oil varnish; charcoal black; lampblack; turpentine varnish,brush,making; applying; advice,varnishing; surface treatment
p004v_a3,Iron engravers' varnish,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f14.image; http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f15.image,4,v,5,r,linseed oil; walnut oil; black pitch; pine resin; black varnish; iron; salt; verdigris; vinegar,fire; steel point; sponge; linen cloth,making;,varnishing; engraving; surface treatment
p005r_a1,Steel mirrors,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f15.image,5,r,5,r,steel; emery paste; cuivre franc; copper de rosette; tin; oil; plaster; sand; arene; tripoli of Venice; paste; water,mold; crucible; white stone mold;,making; casting; applying; advice,casting; polishing
p005r_a2,Concave mirrors,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f15.image,5,r,5,v,,concave mirror; candle; sheet of paper; window,exposition; observation,optical illusion
p005v_a1,For bronzing in yellow and white,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f16.image,5,v,5,v,mirror tin; quicksilver; water; water of glue de retailles; wooden candlesticks; pin filings,marble slab; tooth,making; applying,imitation; surface treatment
p006r_1,To lay down and set burnished gold and give it a red or green or blue hue,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f17.image,6,r,5,r,ceruse; lead white; polished white; matte gold; oil; yellow ochre; mine; chalk; distemper glue; wood; Armenian bole; sanguine; lamb tallow; willow charcoal; saffron; candi sugar; water; gum; glue; gold; rouge clair; Venice lake; walnut oil; linseed oil; turpentine varnish; spike lavender varnish; brazilwood; laque ronde; verdigris; aspic varnish; azure; silver; azure enamel,prele; horsetail; cloth; brush; marble,making; applying; advice; observation,surface treatment; gilding; coloring
p006v_a1,For cages,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f18.image,6,v,6,v,enamel canes; yellow latten; iron wire,cutting file; wooden model; brazier; lamp; furnace; reverbatory oven; pincers; hand; stove; grill; charcoal,making; observation,glassworking; embellishing
p006v_a2,"For stamped ornaments used for embellishing and inserting into or covering the edges of mirrors, the tops of chests, or the friezes of bed valances",http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f18.image,6,v,6,v,aqua forta; iron; copper; tin; lead,burin; chisel; marble; wooden board; roll-press; felt; hammer,making,etching; engraving; stamping
p007r_a1,To gild with gold color and tinsel,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f19.image,7,r,7,r,tin stamped ornament; iron stamped ornament; copper stamped ornament; glue; wood; walnut oil; white lead; massicot; black graphite; minium; gold; gold leaf; tinsel; smoke from a partridge; smoke from a yellow cloth; smoke from a red cloth; velvet; satin,sun; fire; cotton,application; observation,surface treatment; gilding
p007r_a2,To color stamped ornaments for trunks,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f19.image,7,r,7,r,copper stamped ornament; latten stamped ornament; wood from a service tree; lacquer colored lacquer; verdet colored lacquer; blue enamel colored lacquer; turpentine varnish; azure; fer blanc,,application; advice,imitation; surface treatment; coloring
p007r_a3,Doublets,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f19.image,7,r,7,r,dragon's blood; spirits; mastic; glue; vert de vessie; saffron,,observation,adhesives
p007r_a4,Fish glue or usblac and mouth glue,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f19.image,7,r,7,r,codfish skin; water; parchment; paper; white wine; spirits,saliva; low heat,making; observation,
p007v_1,To give the color of all kind of metals and woods and other things,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f20.image,7,v,7,v,touchstone; pumice stone; glue de retailles; metal,,making; applying,surface treatment
p007v_2,Against windy colic,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f20.image,7,v,7,v,walnuts; wine,brazier; tongs,making; observation,medicine
p007v_3,To relieve the pain of g{out},http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f20.image,7,v,7,v,marcasite; storax; urine;,mortar; covered pot; alembic; copper head; cloth,making; applying,medicine
p007v_4,"Against gonorrhea
","http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f20.image
",7,v,7,v,old smiths' water; armenian bole; honey,,making; applying,medicine
p157v_1,ashes in the molds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,157,v,mold; ashes,,advice,cooling; removing ashes from molds
p157v_2,molding a bird,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,157,v,bird; fire; sand; butter; spirits; alum; flour paste; cotton cloth,clay base; iron thread,making,molding; birds; casting
p157v_3,untranslated,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,157,v,,,,
p158r_a1,mercury in molds for cleaning,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,r,158,r,tin; molded leaves; crocum sand; periwinkle leaves; periwinkle flowers,heat,making; advice,molding; casting; blowing
p158v_1,colors for green leafs,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,158,v,massicot; vert de gris; yellow ochre; scudegrum; peachpits; bone of an ox foot,painting equipment,making,painting; color
p158v_2,large molds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,158,v,metal,press,advice,molding
p158v_3,candle smoke,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,158,v,tin; lead,,advice,molding
p158v_4,casts,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,158,v,medal; cast; oil; herbs; flowers,,advice,casting
p159r_a1,portraits in wax,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,r,159,r,wax; color dye; mold; varnish; wood; white wax; white lead;,,making,molding; rubbing; pouring; painting
p159r_a2,chasing tool,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,r,159,r,,,advice,
p159r_a3,fish glue,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,r,159,r,spirits,well cleaned anvil; heat; pot; hot ash,making,glue; reworking gold and delicate metals
p159r_a4,tin and lead,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,r,159,r,,heat; hot ashes,making,metalwork
p159v_a1,cleaning files,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,159,v,files,hot charcoal; wire brush made from brass,application,cleaning
p159v_a2,carnation,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,159,v,rose; marigold; mold; leaves; sand,,making,"blowing; casting, molding"
p159v_a3,molds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,159,v,mold,heat,advice,molding
p159v_a4,unmixed plaster,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,159,v,plaster from Paris or Spain; mold,oil; hot water,making; advice,casting
p159v_b4b,unmixed plaster,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,159,v,,cold water,advice,
p160r_1,presses for large moulds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,r,160,r,two sheets of iro; mold,four small iron pillars; St Andre cross of iron; screw; nuts; wedges,application,pressing molds; alternative to big wooden presses
p160r_2,sand to cast flowers,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,r,160,r,flowers; sand,,making; advice,casting
p160v_a1,molding a foot or a hand,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,157,v,160,v,mixture; water or urine; plaster; foot; hand,blending tool; press,making,casting
p160v_a2,fine work made of gold or silver,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,160,v,160,v,flies; enamel; gold,,making,molding
p160v_a3,catching crayfishes,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,160,v,160,v,,stick; liver or lung; beef or mutton; basket; string,application,catching; animals
p160v_a4,catching passerines,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,160,v,160,v,,candle; candlelight; darkness,application,catching; birds
p160v_a5,catching birds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,160,v,160,v,cloth; stuffing,oven,making; application,stuffing; decorating; birds
p161r_1,preparing sand for box molds,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f327.item.r=%3C/image,161,r,161,r,mold; sand; water of sal ammoniac; box mold,long table; bread oven; water; clean vessel; reverbatory furnace,making,heating; mold; remold; cooking; recooking
p161v_a1,crocum ferri,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,161,v,161,v,crocum ferri,two fingers high iron drum; reverbatory furnace; marble slab; shovel; vinegar,making,calcinating iron (?)
p162r_a1,la boutique,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,162,r,162,r,gold bowl,,observation,navigation; commerce; Herodotus; Portuguese; Phoenicians; Book of Clio; merchandise from Egypt and Assyria; Gyges; temple of Delphi; Colchis; River Phasis; Medea; 30 talentorum; Halyattes; assembling
p162r_a2,aes ustum,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,162,r,162,r,finely grounded aes ustum,,advice,
p162r_a3,rotten wood,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,162,r,162,r,white wood,fire,application,casting; tool
p162v_1,peach trees,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,162,v,162,v,peach trees,,advice,cultivation
p162v_2,olive trees,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,162,v,162,v,olive trees,,advice,cultivation
p162v_3,foot of bittern,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,162,v,162,v,foot of bittern,flat surface,making,casting
p162v_4,Molds of things which have not been pelted,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,162,v,162,v,animals which have not been pelted,quicksilver; feather pipe; mold; clamps; double mold; cinder,making,molding
p163r_1,perfume makers,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,163,r,163,r,half amber; half musk; little civet; starch from England; spoon of flower oil; linseed oil; ambergris,silver spoon; porringer; fire; gloves,making,perfume
p163r_2,spirits,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f320.image,163,r,163,r,mold,water; spirits; sand,application,clean
p102r_1,Provisions for the work of Colchos,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f209.image,102,r,102,r,glasse; ☿; coarse salt; good vinegar; cotton,unleaded earthenware vessel; unleaded pots; alembics; lamps; scissors,making,?
p102r_2,For the furnace,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f209.image,102,r,102,r,Turnipseed oil,"chest with a ten inch wide square stone, and of a one-foot thickness, pierced in the middle; boxes; earthenware pots with a lid; small pipes of white iron; fire-steel",making,?
p102r_3,Royal cement,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f209.image,102,r,102,r,vitriol; saltpeter; rock alum,,making,cement making
p102r_4,Glass vessel,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f209.image,102,r,102,r,?,?,?,?
p102v_1,Painting on crystal or glass,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f210.image,102,v,102,v,natural azur; lacquer; dragon's blood; topaz; gold; silver,,observation; making,painting
p102v_2,Infusion of anthos or rosemary,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f210.image,102,v,102,v,anthos; rosemary; wine; water; white wine,bottle; cork; vessel; still; spoon,making,infusion
p102v_2,Casting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f210.image,102,v,102,v,tin,,making,casting
p103r_1,Excellent burn relief,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f211.item,103,r,103,r,linseed oil; wax; holy water,wooden spatula; wet linen; fine linen; binder's string,making,remedy
p103r_2,Against dog's gall,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f211.item,103,r,103,r,pitch; water; water sublimate,,observation; making,remedy; animals
p103v_1,Enema,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f212.image,103,v,103,v,chicken entrail,pipe,making,remedy
p103v_2,Casting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f212.image,103,v,103,v,tin; sand,taffeta,making,casting
p103v_3,To make colors fluid,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f212.image,103,v,103,v,vinegar; bile; salt; colors,glass bottle,making,colormaking
p103v_4,Earwax,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f212.image,103,v,103,v,earwax; foam of urine,sieve,observation,?
p103v_5,Enamels,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f212.image,103,v,103,v,enamel; water,candle; crystal mirror; glass globe; jar,observation; advice,glasswork
p104r_a1,Corroding and dissolving absolutely pure gold,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f213.image,104,r,104,r,salt; aqua fortis; tenuous gold,violl,making,metalworking
p104r_a2,Engraving on iron,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f213.image,104,r,104,r,verdigris; coarse salt; sublimate; ocher; linseed oil; iron; ammoniac; water,,making,metalworking
p104r_a3,Good mixture to color gold,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f213.image,104,r,104,r,Sulphur; small gravel; salt; turmeric; sulphur,pot,making,colormaking
p104r_a4,How to silver plate copper and latten,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f213.image,104,r,104,r,silver; walnut oil; water,oven,making,metalworking
p104r_a5,Enameling a carnelian,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f213.image,104,r,104,r,wheat flour; white wine; carnelian; violet,,making,glasswork
p104v_a1,Against dogs' mange,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f214.image,104,v,104,v,stavesacre; egg whites; oil,,making,remedy; animals
p104v_a2,For casting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f214.image,104,v,104,v,wax; very soft and clear clay; lead; tin,,making; observation,casting
p104v_a3,Goldsmith,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f214.image,104,v,104,v,Garments; pure silver; silver-gilt,,observation; advice,metalworking; garment making
p104v_a4,Spinet playing by itself,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f214.image,104,v,104,v,feathers; clock spring,,making,musical instruments; mechanics
p105r_1,Turtles,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f215.image,105,r,105,r,,,observation,animals--description
p105r_2,Drying colors,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f215.image,105,r,105,r,Soot black; oil; verdigris,,observation; making,colormaking
p105r_3,Painting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f215.image,105,r,105,r,wood; canvas; walls,,making,painting
p105r_4,Gardening,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f215.image; http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f216.image,105,r,105,v,trees,sharp pen-knife; linen; soft string,making,cultivation
p105v_1,Gardening,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f216.image,105,r,105,r,arnols,,advice,cultivation
p105v_2,fountain,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f216.image,105,r,105,r,recooked plaster; water; fountain conduits,,making; observation,fountain making
p105v_3,Catching nightingales,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f216.image,105,r,105,r,worms; hat; pin; sticks,,making; observation; advice,animals-catching
p105v_4,Nightingale,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f216.image,105,r,105,r,iron wire; fabric; bird food,,making; observation; advice,animals-keeping
p105v_5,Nightingale,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f216.image,105,r,105,r,cage; green fabric; ants; earth; minced sheep's heart; eggs; mealworm,,making; observation; advice,animals-keeping
p106r_a1,To cast,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f217.image,106,r,106,r,Asphalt from Germany; silver; gold,box frame,making; observation; advice,casting
p106r_a2,Making gold run for casting,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f217.image,106,r,106,r,gold; sublimate; sal ammoniac; verdigris; borax; saltpeter; raw plaster; crushed brick; stone alum; spirits; dilute sal ammoniac; raw lump of metal; crocum ferri; snakes; lizards; plaster of paris; sand,,making,casting
p106v_a1,Casting in gold,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f218.image,106,v,106,v,gold; crocum ferri; stone alum; crab shells; crayfish shells; rats; birds,iron presses,making,casting
p106v_a2,Tiles,http://gallica.bnf.fr/ark:/12148/btv1b10500001g/f218.image,106,v,106,v,roof tiles; large gravel; sand; turtles,sieve,making,casting
